Designator,Mid X,Mid Y,Layer,Rotation
C1,82.0000,-23.0000,Top,90.0000
C2,88.0000,-23.0000,Top,90.0000
C3,94.0000,-23.0000,Top,90.0000
C4,15.0000,-82.0000,Top,90.0000
C5,22.0000,-82.0000,Top,90.0000
D1,99.0000,-30.0000,Top,90.0000
D2,72.0000,-30.0000,Top,90.0000
D3,72.0000,-44.0000,Top,90.0000
D4,72.0000,-58.0000,Top,90.0000
D5,72.0000,-72.0000,Top,90.0000
D6,22.0000,-62.0000,Top,90.0000
D7,25.6000,-62.0000,Top,90.0000
D8,29.2000,-62.0000,Top,90.0000
D9,32.8000,-62.0000,Top,90.0000
D10,36.4000,-62.0000,Top,90.0000
D11,40.0000,-62.0000,Top,90.0000
D12,43.6000,-62.0000,Top,90.0000
D13,47.2000,-62.0000,Top,90.0000
D14,22.0000,-69.0000,Top,90.0000
D15,25.6000,-69.0000,Top,90.0000
D16,29.2000,-69.0000,Top,90.0000
D17,32.8000,-69.0000,Top,90.0000
D18,36.4000,-69.0000,Top,90.0000
D19,40.0000,-69.0000,Top,90.0000
D20,43.6000,-69.0000,Top,90.0000
D21,47.2000,-69.0000,Top,90.0000
D22,27.0000,-82.0000,Top,90.0000
D23,30.6000,-82.0000,Top,90.0000
D24,34.2000,-82.0000,Top,90.0000
D25,37.8000,-82.0000,Top,90.0000
F1,88.0000,-16.0000,Top,0.0000
J1,20.0000,-20.0000,Top,180.0000
J2,38.0000,-17.0000,Top,0.0000
J3,49.5000,-17.0000,Top,0.0000
J4,61.0000,-17.0000,Top,0.0000
J5,72.5000,-17.0000,Top,0.0000
J6,70.0000,-89.0000,Top,180.0000
K1,82.0000,-30.0000,Top,90.0000
K2,82.0000,-44.0000,Top,90.0000
K3,82.0000,-58.0000,Top,90.0000
K4,82.0000,-72.0000,Top,90.0000
Q1,58.0000,-30.0000,Top,180.0000
Q2,58.0000,-44.0000,Top,180.0000
Q3,58.0000,-58.0000,Top,180.0000
Q4,58.0000,-72.0000,Top,180.0000
R1,25.0000,-15.0000,Top,90.0000
R2,29.0000,-15.0000,Top,90.0000
R3,7.0000,-26.0000,Top,180.0000
R4,7.0000,-32.0000,Top,180.0000
R5,7.0000,-38.0000,Top,180.0000
R6,7.0000,-44.0000,Top,180.0000
R7,7.0000,-50.0000,Top,180.0000
R8,7.0000,-56.0000,Top,180.0000
R9,7.0000,-62.0000,Top,180.0000
R10,7.0000,-68.0000,Top,180.0000
R11,7.0000,-74.0000,Top,180.0000
R12,53.0000,-30.0000,Top,90.0000
R13,53.0000,-44.0000,Top,90.0000
R14,53.0000,-58.0000,Top,90.0000
R15,53.0000,-72.0000,Top,90.0000
R16,64.0000,-30.0000,Top,90.0000
R17,64.0000,-44.0000,Top,90.0000
R18,64.0000,-58.0000,Top,90.0000
R19,64.0000,-72.0000,Top,90.0000
R20,92.0000,-30.0000,Top,90.0000
R21,92.0000,-44.0000,Top,90.0000
R22,92.0000,-58.0000,Top,90.0000
R23,92.0000,-72.0000,Top,90.0000
SW1,20.0000,-93.0000,Top,0.0000
SW2,32.0000,-93.0000,Top,0.0000
SW3,44.0000,-93.0000,Top,0.0000
SW4,56.0000,-93.0000,Top,0.0000
U1,30.0000,-34.0000,Top,90.0000
