 1.00000000e-07  9.99914731e-07  1.00000000e-07  2.48339067e-10  1.00000000e-07  4.39990320e-05  1.00000000e-07  4.39990320e-05 
 1.05600558e-07  1.05591831e-06  1.05600558e-07  2.63026275e-10  1.05600558e-07  4.39990320e-05  1.05600558e-07  4.39990320e-05 
 1.16801675e-07  1.16792523e-06  1.16801675e-07  2.94269055e-10  1.16801675e-07  4.39990320e-05  1.16801675e-07  4.39990320e-05 
 1.39203909e-07  1.39193784e-06  1.39203909e-07  3.65713821e-10  1.39203909e-07  4.39990320e-05  1.39203909e-07  4.39990320e-05 
 1.84008377e-07  1.83995802e-06  1.84008377e-07  5.45540346e-10  1.84008377e-07  4.39990320e-05  1.84008377e-07  4.39990320e-05 
 2.73617312e-07  2.73597805e-06  2.73617312e-07  1.05287518e-09  2.73617312e-07  4.39990320e-05  2.73617312e-07  4.39990320e-05 
 4.52835182e-07  4.52793672e-06  4.52835182e-07  2.64694053e-09  4.52835182e-07  4.39990320e-05  4.52835182e-07  4.39990320e-05 
 8.11270923e-07  8.11152847e-06  8.11270923e-07  7.99774947e-09  8.11270923e-07  4.39990320e-05  8.11270923e-07  4.39990320e-05 
 1.52814241e-06  1.52774097e-05  1.52814241e-06  2.53583846e-08  1.52814241e-06  4.39990320e-05  1.52814241e-06  4.39990320e-05 
 2.56836320e-06  2.56724189e-05  2.56836320e-06  5.69257823e-08  2.56836320e-06  4.39990320e-05  2.56836320e-06  4.39990320e-05 
 3.75842416e-06  3.75603114e-05  3.75842416e-06  8.58701510e-08  3.75842416e-06  4.39990320e-05  3.75842416e-06  4.39990320e-05 
 4.93939476e-06  4.93526713e-05  4.93939476e-06  9.47817925e-08  4.93939476e-06  4.39990320e-05  4.93939476e-06  4.39990320e-05 
 6.04161506e-06  6.03544390e-05  6.04161506e-06  8.30467970e-08  6.04161506e-06  4.39990320e-05  6.04161506e-06  4.39990320e-05 
 7.15829301e-06  7.14963362e-05  7.15829301e-06  5.80372396e-08  7.15829301e-06  4.39990320e-05  7.15829301e-06  4.39990320e-05 
 8.43650474e-06  8.42448111e-05  8.43650474e-06  2.90341760e-08  8.43650474e-06  4.39990320e-05  8.43650474e-06  4.39990320e-05 
 9.52256632e-06  9.50725146e-05  9.52256632e-06  1.50715039e-08  9.52256632e-06  4.39990320e-05  9.52256632e-06  4.39990320e-05 
 1.00000000e-05  9.98311254e-05  1.00000000e-05  1.35670094e-08  1.00000000e-05  4.39990320e-05  1.00000000e-05  4.39990320e-05 
 1.01170074e-05  1.00997205e-04  1.01170074e-05  1.37924350e-08  1.01170074e-05  4.39990320e-05  1.01170074e-05  4.39990320e-05 
