 2.00000000e-06  2.49999141e-03  2.00000000e-06  0.00000000e+00  2.00000000e-06  0.00000000e+00  2.00000000e-06  0.00000000e+00  2.00000000e-06  0.00000000e+00  2.00000000e-06  1.10366313e-04  2.00000000e-06  1.10366313e-04  2.00000000e-06  1.10366313e-04  2.00000000e-06  1.10366313e-04  2.00000000e-06  2.20035226e-05  2.00000000e-06  2.20035226e-05 
 2.22413784e-06  2.78016267e-03  2.22413784e-06  3.99146179e-13  2.22413784e-06  3.99146179e-13  2.22413784e-06  3.99146179e-13  2.22413784e-06  3.99146179e-13  2.22413784e-06  1.12463484e-04  2.22413784e-06  1.12463484e-04  2.22413784e-06  1.12463484e-04  2.22413784e-06  1.12463484e-04  2.22413784e-06  2.20038324e-05  2.22413784e-06  2.20038324e-05 
 2.67241352e-06  3.34050503e-03  2.67241352e-06  4.59879294e-13  2.67241352e-06  4.59879294e-13  2.67241352e-06  4.59879294e-13  2.67241352e-06  4.59879294e-13  2.67241352e-06  1.08649659e-04  2.67241352e-06  1.08649659e-04  2.67241352e-06  1.08649659e-04  2.67241352e-06  1.08649659e-04  2.67241352e-06  2.20044520e-05  2.67241352e-06  2.20044520e-05 
 3.56896488e-06  4.46118894e-03  3.56896488e-06  6.10623551e-13  3.56896488e-06  6.10623551e-13  3.56896488e-06  6.10623551e-13  3.56896488e-06  6.10623551e-13  3.56896488e-06  8.81860958e-05  3.56896488e-06  8.81860958e-05  3.56896488e-06  8.81860958e-05  3.56896488e-06  8.81860958e-05  3.56896488e-06  2.20056911e-05  3.56896488e-06  2.20056911e-05 
 5.36206760e-06  6.70255360e-03  5.36206760e-06  1.00311275e-12  5.36206760e-06  1.00311275e-12  5.36206760e-06  1.00311275e-12  5.36206760e-06  1.00311275e-12  5.36206760e-06  5.55959681e-05  5.36206760e-06  5.55959681e-05  5.36206760e-06  5.55959681e-05  5.36206760e-06  5.55959681e-05  5.36206760e-06  2.20081688e-05  5.36206760e-06  2.20081688e-05 
 8.94827303e-06  1.11852705e-02  8.94827303e-06  1.90131027e-12  8.94827303e-06  1.90131027e-12  8.94827303e-06  1.90131027e-12  8.94827303e-06  1.90131027e-12  8.94827303e-06  2.64499165e-05  8.94827303e-06  2.64499165e-05  8.94827303e-06  2.64499165e-05  8.94827303e-06  2.64499165e-05  8.94827303e-06  2.20131211e-05  8.94827303e-06  2.20131211e-05 
 1.33944446e-05  1.67429124e-02  1.33944446e-05  2.63564708e-12  1.33944446e-05  2.63564708e-12  1.33944446e-05  2.63564708e-12  1.33944446e-05  2.63564708e-12  1.33944446e-05  2.26706006e-05  1.33944446e-05  2.26706006e-05  1.33944446e-05  2.26706006e-05  1.33944446e-05  2.26706006e-05  1.33944446e-05  2.20192519e-05  1.33944446e-05  2.20192519e-05 
 1.79311898e-05  2.24137437e-02  1.79311898e-05  2.43970569e-12  1.79311898e-05  2.43970569e-12  1.79311898e-05  2.43970569e-12  1.79311898e-05  2.43970569e-12  1.79311898e-05  2.39391273e-05  1.79311898e-05  2.39391273e-05  1.79311898e-05  2.39391273e-05  1.79311898e-05  2.39391273e-05  1.79311898e-05  2.20254927e-05  1.79311898e-05  2.20254927e-05 
 2.18020019e-05  2.72521522e-02  2.18020019e-05  1.59433894e-12  2.18020019e-05  1.59433894e-12  2.18020019e-05  1.59433894e-12  2.18020019e-05  1.59433894e-12  2.18020019e-05  2.68983256e-05  2.18020019e-05  2.68983256e-05  2.18020019e-05  2.68983256e-05  2.18020019e-05  2.68983256e-05  2.18020019e-05  2.20308017e-05  2.18020019e-05  2.20308017e-05 
 2.58185641e-05  3.22727237e-02  2.58185641e-05  6.53644802e-13  2.58185641e-05  6.53644802e-13  2.58185641e-05  6.53644802e-13  2.58185641e-05  6.53644802e-13  2.58185641e-05  2.92118196e-05  2.58185641e-05  2.92118196e-05  2.58185641e-05  2.92118196e-05  2.58185641e-05  2.92118196e-05  2.58185641e-05  2.20362919e-05  2.58185641e-05  2.20362919e-05 
 2.90374103e-05  3.62961610e-02  2.90374103e-05  2.85597391e-13  2.90374103e-05  2.85597390e-13  2.90374103e-05  2.85597390e-13  2.90374103e-05  2.85597390e-13  2.90374103e-05  3.20337900e-05  2.90374103e-05  3.20337900e-05  2.90374103e-05  3.20337900e-05  2.90374103e-05  3.20337900e-05  2.90374103e-05  2.20406754e-05  2.90374103e-05  2.20406754e-05 
 3.21929529e-05  4.02404580e-02  3.21929529e-05  4.68351028e-13  3.21929529e-05  4.68351028e-13  3.21929529e-05  4.68351028e-13  3.21929529e-05  4.68351028e-13  3.21929529e-05  3.42371781e-05  3.21929529e-05  3.42371781e-05  3.21929529e-05  3.42371781e-05  3.21929529e-05  3.42371781e-05  3.21929529e-05  2.20449570e-05  3.21929529e-05  2.20449570e-05 
 3.56775422e-05  4.45960346e-02  3.56775422e-05  1.17690348e-12  3.56775422e-05  1.17690348e-12  3.56775422e-05  1.17690348e-12  3.56775422e-05  1.17690348e-12  3.56775422e-05  3.75658715e-05  3.56775422e-05  3.75658715e-05  3.56775422e-05  3.75658715e-05  3.56775422e-05  3.75658715e-05  3.56775422e-05  2.20496647e-05  3.56775422e-05  2.20496647e-05 
 3.95425575e-05  4.94271074e-02  3.95425575e-05  2.12368738e-12  3.95425575e-05  2.12368738e-12  3.95425575e-05  2.12368738e-12  3.95425575e-05  2.12368738e-12  3.95425575e-05  4.09472421e-05  3.95425575e-05  4.09472421e-05  3.95425575e-05  4.09472421e-05  3.95425575e-05  4.09472421e-05  3.95425575e-05  2.20548589e-05  3.95425575e-05  2.20548589e-05 
 4.46266794e-05  5.57819711e-02  4.46266794e-05  2.67518040e-12  4.46266794e-05  2.67518040e-12  4.46266794e-05  2.67518040e-12  4.46266794e-05  2.67518040e-12  4.46266794e-05  4.64976103e-05  4.46266794e-05  4.64976103e-05  4.46266794e-05  4.64976103e-05  4.46266794e-05  4.64976103e-05  4.46266794e-05  2.20616424e-05  4.46266794e-05  2.20616424e-05 
 4.91053410e-05  6.13800152e-02  4.91053410e-05  2.14615125e-12  4.91053410e-05  2.14615125e-12  4.91053410e-05  2.14615125e-12  4.91053410e-05  2.14615125e-12  4.91053410e-05  5.15089576e-05  4.91053410e-05  5.15089576e-05  4.91053410e-05  5.15089576e-05  4.91053410e-05  5.15089576e-05  4.91053410e-05  2.20675667e-05  4.91053410e-05  2.20675667e-05 
 5.28593041e-05  6.60722111e-02  5.28593041e-05  1.21626357e-12  5.28593041e-05  1.21626357e-12  5.28593041e-05  1.21626357e-12  5.28593041e-05  1.21626357e-12  5.28593041e-05  5.65394343e-05  5.28593041e-05  5.65394343e-05  5.28593041e-05  5.65394343e-05  5.28593041e-05  5.65394343e-05  5.28593041e-05  2.20724919e-05  5.28593041e-05  2.20724919e-05 
