 1.00000000e+01  3.17833357e-04 
 1.03913005e+01  3.23513950e-04 
 1.07979127e+01  3.29537869e-04 
 1.12204356e+01  3.35921168e-04 
 1.16594918e+01  3.42680310e-04 
 1.21157284e+01  3.49832163e-04 
 1.25898175e+01  3.57394007e-04 
 1.30824577e+01  3.65383536e-04 
 1.35943750e+01  3.73818869e-04 
 1.41263236e+01  3.82718562e-04 
 1.46790874e+01  3.92101619e-04 
 1.52534809e+01  4.01987510e-04 
 1.58503504e+01  4.12396194e-04 
 1.64705755e+01  4.23348139e-04 
 1.71150700e+01  4.34864352e-04 
 1.77847836e+01  4.46966406e-04 
 1.84807031e+01  4.59676475e-04 
 1.92038540e+01  4.73017367e-04 
 1.99553019e+01  4.87012564e-04 
 2.07361539e+01  5.01686263e-04 
 2.15475607e+01  5.17063416e-04 
 2.23907179e+01  5.33169780e-04 
 2.32668679e+01  5.50031960e-04 
 2.41773017e+01  5.67677460e-04 
 2.51233608e+01  5.86134735e-04 
 2.61064393e+01  6.05433242e-04 
 2.71279856e+01  6.25603495e-04 
 2.81895052e+01  6.46677121e-04 
 2.92925620e+01  6.68686919e-04 
 3.04387815e+01  6.91666915e-04 
 3.16298527e+01  7.15652427e-04 
 3.28675305e+01  7.40680127e-04 
 3.41536388e+01  7.66788100e-04 
 3.54900725e+01  7.94015914e-04 
 3.68788009e+01  8.22404687e-04 
 3.83218704e+01  8.51997151e-04 
 3.98214072e+01  8.82837729e-04 
 4.13796210e+01  9.14972605e-04 
 4.29988078e+01  9.48449798e-04 
 4.46813535e+01  9.83319239e-04 
 4.64297372e+01  1.01963285e-03 
 4.82465354e+01  1.05744464e-03 
 5.01344249e+01  1.09681075e-03 
 5.20961876e+01  1.13778960e-03 
 5.41347142e+01  1.18044192e-03 
 5.62530085e+01  1.22483088e-03 
 5.84541917e+01  1.27102218e-03 
 6.07415074e+01  1.31908414e-03 
 6.31183258e+01  1.36908781e-03 
 6.55881493e+01  1.42110708e-03 
 6.81546171e+01  1.47521879e-03 
 7.08215109e+01  1.53150285e-03 
 7.35927605e+01  1.59004233e-03 
 7.64724491e+01  1.65092363e-03 
 7.94648202e+01  1.71423659e-03 
 8.25742828e+01  1.78007459e-03 
 8.58054190e+01  1.84853476e-03 
 8.91629896e+01  1.91971806e-03 
 9.26519422e+01  1.99372945e-03 
 9.62774177e+01  2.07067806e-03 
 1.00044758e+02  2.15067735e-03 
 1.03959515e+02  2.23384524e-03 
 1.08027456e+02  2.32030435e-03 
 1.12254576e+02  2.41018211e-03 
 1.16647104e+02  2.50361100e-03 
 1.21211512e+02  2.60072874e-03 
 1.25954524e+02  2.70167846e-03 
 1.30883132e+02  2.80660895e-03 
 1.36004596e+02  2.91567486e-03 
 1.41326463e+02  3.02903693e-03 
 1.46856575e+02  3.14686222e-03 
 1.52603081e+02  3.26932439e-03 
 1.58574447e+02  3.39660391e-03 
 1.64779474e+02  3.52888835e-03 
 1.71227304e+02  3.66637267e-03 
 1.77927437e+02  3.80925947e-03 
 1.84889747e+02  3.95775934e-03 
 1.92124493e+02  4.11209112e-03 
 1.99642335e+02  4.27248226e-03 
 2.07454350e+02  4.43916911e-03 
 2.15572050e+02  4.61239735e-03 
 2.24007396e+02  4.79242226e-03 
 2.32772817e+02  4.97950916e-03 
 2.41881230e+02  5.17393377e-03 
 2.51346056e+02  5.37598263e-03 
 2.61181240e+02  5.58595353e-03 
 2.71401276e+02  5.80415592e-03 
 2.82021223e+02  6.03091140e-03 
 2.93056728e+02  6.26655419e-03 
 3.04524054e+02  6.51143160e-03 
 3.16440096e+02  6.76590456e-03 
 3.28822414e+02  7.03034815e-03 
 3.41689253e+02  7.30515218e-03 
 3.55059572e+02  7.59072170e-03 
 3.68953072e+02  7.88747768e-03 
 3.83390226e+02  8.19585757e-03 
 3.98392306e+02  8.51631597e-03 
 4.13981418e+02  8.84932533e-03 
 4.30180533e+02  9.19537658e-03 
 4.47013520e+02  9.55497994e-03 
 4.64505183e+02  9.92866560e-03 
 4.82681296e+02  1.03169846e-02 
 5.01568641e+02  1.07205094e-02 
 5.21195049e+02  1.11398353e-02 
