 3.00000176e-01 -1.48260825e-02  3.00000176e-01  4.97810593e+00  3.00000176e-01  4.97961079e+00  3.00000176e-01  2.48336212e+00  3.00000176e-01  8.52422599e-02  3.00000176e-01  4.97810550e+00  3.00000176e-01  1.99990910e+00  3.00000176e-01  4.39990320e-05 
 3.00005176e-01 -2.11923856e-02  3.00005176e-01  4.97810593e+00  3.00005176e-01  4.97961079e+00  3.00005176e-01  2.48336276e+00  3.00005176e-01  8.52422599e-02  3.00005176e-01  4.97810550e+00  3.00005176e-01  1.99990910e+00  3.00005176e-01  4.39990320e-05 
 3.00010176e-01 -2.75369652e-02  3.00010176e-01  4.97810593e+00  3.00010176e-01  4.97961079e+00  3.00010176e-01  2.48336340e+00  3.00010176e-01  8.52422599e-02  3.00010176e-01  4.97810550e+00  3.00010176e-01  1.99990910e+00  3.00010176e-01  4.39990320e-05 
 3.00015176e-01 -3.38535600e-02  3.00015176e-01  4.97810593e+00  3.00015176e-01  4.97961079e+00  3.00015176e-01  2.48336404e+00  3.00015176e-01  8.52422599e-02  3.00015176e-01  4.97810550e+00  3.00015176e-01  1.99990910e+00  3.00015176e-01  4.39990320e-05 
 3.00020176e-01 -4.01359363e-02  3.00020176e-01  4.97810593e+00  3.00020176e-01  4.97961079e+00  3.00020176e-01  2.48336468e+00  3.00020176e-01  8.52422599e-02  3.00020176e-01  4.97810550e+00  3.00020176e-01  1.99990910e+00  3.00020176e-01  4.39990320e-05 
 3.00025176e-01 -4.63778942e-02  3.00025176e-01  4.97810593e+00  3.00025176e-01  4.97961079e+00  3.00025176e-01  2.48336532e+00  3.00025176e-01  8.52422599e-02  3.00025176e-01  4.97810550e+00  3.00025176e-01  1.99990910e+00  3.00025176e-01  4.39990320e-05 
 3.00030176e-01 -5.25732738e-02  3.00030176e-01  4.97810593e+00  3.00030176e-01  4.97961079e+00  3.00030176e-01  2.48336596e+00  3.00030176e-01  8.52422599e-02  3.00030176e-01  4.97810550e+00  3.00030176e-01  1.99990910e+00  3.00030176e-01  4.39990320e-05 
 3.00035176e-01 -5.87159611e-02  3.00035176e-01  4.97810593e+00  3.00035176e-01  4.97961079e+00  3.00035176e-01  2.48336660e+00  3.00035176e-01  8.52422599e-02  3.00035176e-01  4.97810550e+00  3.00035176e-01  1.99990910e+00  3.00035176e-01  4.39990320e-05 
 3.00040176e-01 -6.47998941e-02  3.00040176e-01  4.97810593e+00  3.00040176e-01  4.97961079e+00  3.00040176e-01  2.48336724e+00  3.00040176e-01  8.52422599e-02  3.00040176e-01  4.97810550e+00  3.00040176e-01  1.99990910e+00  3.00040176e-01  4.39990320e-05 
 3.00045176e-01 -7.08190687e-02  3.00045176e-01  4.97810593e+00  3.00045176e-01  4.97961079e+00  3.00045176e-01  2.48336787e+00  3.00045176e-01  8.52422599e-02  3.00045176e-01  4.97810550e+00  3.00045176e-01  1.99990910e+00  3.00045176e-01  4.39990320e-05 
 3.00050176e-01 -7.67675448e-02  3.00050176e-01  4.97810593e+00  3.00050176e-01  4.97961079e+00  3.00050176e-01  2.48336851e+00  3.00050176e-01  8.52422599e-02  3.00050176e-01  4.97810550e+00  3.00050176e-01  1.99990910e+00  3.00050176e-01  4.39990320e-05 
 3.00055176e-01 -8.26394521e-02  3.00055176e-01  4.97810593e+00  3.00055176e-01  4.97961079e+00  3.00055176e-01  2.48336915e+00  3.00055176e-01  8.52422599e-02  3.00055176e-01  4.97810550e+00  3.00055176e-01  1.99990910e+00  3.00055176e-01  4.39990320e-05 
 3.00060176e-01 -8.84289958e-02  3.00060176e-01  4.97810593e+00  3.00060176e-01  4.97961079e+00  3.00060176e-01  2.48336978e+00  3.00060176e-01  8.52422599e-02  3.00060176e-01  4.97810550e+00  3.00060176e-01  1.99990910e+00  3.00060176e-01  4.39990320e-05 
 3.00065176e-01 -9.41304624e-02  3.00065176e-01  4.97810593e+00  3.00065176e-01  4.97961079e+00  3.00065176e-01  2.48337042e+00  3.00065176e-01  8.52422599e-02  3.00065176e-01  4.97810550e+00  3.00065176e-01  1.99990910e+00  3.00065176e-01  4.39990320e-05 
 3.00070176e-01 -9.97382254e-02  3.00070176e-01  4.97810593e+00  3.00070176e-01  4.97961079e+00  3.00070176e-01  2.48337105e+00  3.00070176e-01  8.52422599e-02  3.00070176e-01  4.97810550e+00  3.00070176e-01  1.99990910e+00  3.00070176e-01  4.39990320e-05 
 3.00075176e-01 -1.05246751e-01  3.00075176e-01  4.97810593e+00  3.00075176e-01  4.97961079e+00  3.00075176e-01  2.48337168e+00  3.00075176e-01  8.52422599e-02  3.00075176e-01  4.97810550e+00  3.00075176e-01  1.99990910e+00  3.00075176e-01  4.39990320e-05 
 3.00080176e-01 -1.10650602e-01  3.00080176e-01  4.97810593e+00  3.00080176e-01  4.97961079e+00  3.00080176e-01  2.48337232e+00  3.00080176e-01  8.52422599e-02  3.00080176e-01  4.97810550e+00  3.00080176e-01  1.99990910e+00  3.00080176e-01  4.39990320e-05 
 3.00085176e-01 -1.15944446e-01  3.00085176e-01  4.97810593e+00  3.00085176e-01  4.97961079e+00  3.00085176e-01  2.48337295e+00  3.00085176e-01  8.52422599e-02  3.00085176e-01  4.97810550e+00  3.00085176e-01  1.99990910e+00  3.00085176e-01  4.39990320e-05 
