 3.00000500e-01 -1.52413065e-02  3.00000500e-01  4.97372924e+00  3.00000500e-01  4.97600884e+00  3.00000500e-01  2.48156797e+00  3.00000500e-01  8.51669780e-02  3.00000500e-01  4.97372882e+00  3.00000500e-01  1.99990910e+00  3.00000500e-01  4.39990320e-05 
 3.00001500e-01 -1.65157919e-02  3.00001500e-01  4.97372924e+00  3.00001500e-01  4.97600884e+00  3.00001500e-01  2.48156810e+00  3.00001500e-01  8.51669780e-02  3.00001500e-01  4.97372882e+00  3.00001500e-01  1.99990910e+00  3.00001500e-01  4.39990320e-05 
 3.00002500e-01 -1.77895930e-02  3.00002500e-01  4.97372924e+00  3.00002500e-01  4.97600884e+00  3.00002500e-01  2.48156823e+00  3.00002500e-01  8.51669780e-02  3.00002500e-01  4.97372882e+00  3.00002500e-01  1.99990910e+00  3.00002500e-01  4.39990320e-05 
 3.00003500e-01 -1.90626594e-02  3.00003500e-01  4.97372924e+00  3.00003500e-01  4.97600884e+00  3.00003500e-01  2.48156836e+00  3.00003500e-01  8.51669780e-02  3.00003500e-01  4.97372882e+00  3.00003500e-01  1.99990910e+00  3.00003500e-01  4.39990320e-05 
 3.00004500e-01 -2.03349409e-02  3.00004500e-01  4.97372924e+00  3.00004500e-01  4.97600884e+00  3.00004500e-01  2.48156849e+00  3.00004500e-01  8.51669780e-02  3.00004500e-01  4.97372882e+00  3.00004500e-01  1.99990910e+00  3.00004500e-01  4.39990320e-05 
 3.00005500e-01 -2.16063873e-02  3.00005500e-01  4.97372924e+00  3.00005500e-01  4.97600884e+00  3.00005500e-01  2.48156862e+00  3.00005500e-01  8.51669780e-02  3.00005500e-01  4.97372882e+00  3.00005500e-01  1.99990910e+00  3.00005500e-01  4.39990320e-05 
 3.00006500e-01 -2.28769484e-02  3.00006500e-01  4.97372924e+00  3.00006500e-01  4.97600884e+00  3.00006500e-01  2.48156874e+00  3.00006500e-01  8.51669780e-02  3.00006500e-01  4.97372882e+00  3.00006500e-01  1.99990910e+00  3.00006500e-01  4.39990320e-05 
 3.00007500e-01 -2.41465740e-02  3.00007500e-01  4.97372924e+00  3.00007500e-01  4.97600884e+00  3.00007500e-01  2.48156887e+00  3.00007500e-01  8.51669780e-02  3.00007500e-01  4.97372882e+00  3.00007500e-01  1.99990910e+00  3.00007500e-01  4.39990320e-05 
 3.00008500e-01 -2.54152140e-02  3.00008500e-01  4.97372924e+00  3.00008500e-01  4.97600884e+00  3.00008500e-01  2.48156900e+00  3.00008500e-01  8.51669780e-02  3.00008500e-01  4.97372882e+00  3.00008500e-01  1.99990910e+00  3.00008500e-01  4.39990320e-05 
 3.00009500e-01 -2.66828183e-02  3.00009500e-01  4.97372924e+00  3.00009500e-01  4.97600884e+00  3.00009500e-01  2.48156913e+00  3.00009500e-01  8.51669780e-02  3.00009500e-01  4.97372882e+00  3.00009500e-01  1.99990910e+00  3.00009500e-01  4.39990320e-05 
 3.00010500e-01 -2.79493369e-02  3.00010500e-01  4.97372924e+00  3.00010500e-01  4.97600884e+00  3.00010500e-01  2.48156926e+00  3.00010500e-01  8.51669780e-02  3.00010500e-01  4.97372882e+00  3.00010500e-01  1.99990910e+00  3.00010500e-01  4.39990320e-05 
 3.00011500e-01 -2.92147197e-02  3.00011500e-01  4.97372924e+00  3.00011500e-01  4.97600884e+00  3.00011500e-01  2.48156938e+00  3.00011500e-01  8.51669780e-02  3.00011500e-01  4.97372882e+00  3.00011500e-01  1.99990910e+00  3.00011500e-01  4.39990320e-05 
 3.00012500e-01 -3.04789169e-02  3.00012500e-01  4.97372924e+00  3.00012500e-01  4.97600884e+00  3.00012500e-01  2.48156951e+00  3.00012500e-01  8.51669780e-02  3.00012500e-01  4.97372882e+00  3.00012500e-01  1.99990910e+00  3.00012500e-01  4.39990320e-05 
 3.00013500e-01 -3.17418784e-02  3.00013500e-01  4.97372924e+00  3.00013500e-01  4.97600884e+00  3.00013500e-01  2.48156964e+00  3.00013500e-01  8.51669780e-02  3.00013500e-01  4.97372882e+00  3.00013500e-01  1.99990910e+00  3.00013500e-01  4.39990320e-05 
 3.00014500e-01 -3.30035546e-02  3.00014500e-01  4.97372924e+00  3.00014500e-01  4.97600884e+00  3.00014500e-01  2.48156977e+00  3.00014500e-01  8.51669780e-02  3.00014500e-01  4.97372882e+00  3.00014500e-01  1.99990910e+00  3.00014500e-01  4.39990320e-05 
 3.00015500e-01 -3.42638954e-02  3.00015500e-01  4.97372924e+00  3.00015500e-01  4.97600884e+00  3.00015500e-01  2.48156990e+00  3.00015500e-01  8.51669780e-02  3.00015500e-01  4.97372882e+00  3.00015500e-01  1.99990910e+00  3.00015500e-01  4.39990320e-05 
