 1.00000000e+00  7.08749301e-04 
 1.05947271e+00  7.09104284e-04 
 1.12248243e+00  7.09502535e-04 
 1.18923950e+00  7.09949298e-04 
 1.25996680e+00  7.10450447e-04 
 1.33490044e+00  7.11012557e-04 
 1.41429059e+00  7.11642987e-04 
 1.49840229e+00  7.12349970e-04 
 1.58751633e+00  7.13142710e-04 
 1.68193023e+00  7.14031498e-04 
 1.78195919e+00  7.15027831e-04 
 1.88793713e+00  7.16144547e-04 
 2.00021787e+00  7.17395970e-04 
 2.11917625e+00  7.18798074e-04 
 2.24520941e+00  7.20368661e-04 
 2.37873810e+00  7.22127549e-04 
 2.52020811e+00  7.24096779e-04 
 2.67009172e+00  7.26300846e-04 
 2.82888932e+00  7.28766931e-04 
 2.99713103e+00  7.31525165e-04 
 3.17537854e+00  7.34608898e-04 
 3.36422692e+00  7.38054986e-04 
 3.56430661e+00  7.41904092e-04 
 3.77628559e+00  7.46200994e-04 
 4.00087154e+00  7.50994905e-04 
 4.23881422e+00  7.56339792e-04 
 4.49090799e+00  7.62294692e-04 
 4.75799447e+00  7.68924029e-04 
 5.04096530e+00  7.76297907e-04 
 5.34076518e+00  7.84492395e-04 
 5.65839497e+00  7.93589776e-04 
 5.99491506e+00  8.03678763e-04 
 6.35144892e+00  8.14854685e-04 
 6.72918681e+00  8.27219619e-04 
 7.12938979e+00  8.40882477e-04 
 7.55339394e+00  8.55959043e-04 
 8.00261476e+00  8.72571968e-04 
 8.47855196e+00  8.90850714e-04 
 8.98279444e+00  9.10931472e-04 
 9.51702558e+00  9.32957049e-04 
 1.00830289e+01  9.57076750e-04 
 1.06826940e+01  9.83446273e-04 
 1.13180227e+01  1.01222762e-03 
 1.19911363e+01  1.04358904e-03 
 1.27042816e+01  1.07770510e-03 
 1.34598397e+01  1.11475673e-03 
 1.42603329e+01  1.15493143e-03 
 1.51084336e+01  1.19842359e-03 
 1.60069731e+01  1.24543486e-03 
 1.69589512e+01  1.29617466e-03 
 1.79675460e+01  1.35086081e-03 
 1.90361247e+01  1.40972027e-03 
 2.01682546e+01  1.47298990e-03 
 2.13677154e+01  1.54091746e-03 
 2.26385114e+01  1.61376253e-03 
 2.39848850e+01  1.69179763e-03 
 2.54113312e+01  1.77530935e-03 
 2.69226120e+01  1.86459955e-03 
 2.85237727e+01  1.95998660e-03 
 3.02201588e+01  2.06180675e-03 
 3.20174336e+01  2.17041547e-03 
 3.39215972e+01  2.28618884e-03 
 3.59390066e+01  2.40952510e-03 
 3.80763968e+01  2.54084613e-03 
 4.03409033e+01  2.68059908e-03 
 4.27400863e+01  2.82925804e-03 
 4.52819551e+01  2.98732573e-03 
 4.79749957e+01  3.15533540e-03 
