 5.00000000e-08  1.20894138e-01  5.00000000e-08  1.20827025e-01  5.00000000e-08  1.88387139e-01 
 5.17070192e-08  1.10137964e-01  5.17070192e-08  1.10076743e-01  5.17070192e-08  1.86906901e-01 
 5.51210575e-08  9.05364229e-02  5.51210575e-08  9.04859397e-02  5.51210575e-08  1.82019019e-01 
 6.19491341e-08  6.09268429e-02  6.19491341e-08  6.08925800e-02  6.19491341e-08  1.64179933e-01 
 7.41929712e-08  2.92496651e-02  7.41929712e-08  2.92327559e-02  7.41929712e-08  1.22756717e-01 
 8.66460106e-08  1.37789418e-02  8.66460106e-08  1.37705089e-02  8.66460106e-08  8.32075598e-02 
 1.09016088e-07  2.81619969e-03  1.09016088e-07  2.81377524e-03  1.09016088e-07  3.57918270e-02 
 1.45171135e-07 -4.15910253e-04  1.45171135e-07 -4.16558455e-04  1.45171135e-07  5.23429896e-03 
 1.93226612e-07 -4.97742040e-04  1.93226612e-07 -4.98337057e-04  1.93226612e-07 -9.43905401e-04 
 2.46089983e-07 -6.60560445e-04  2.46089983e-07 -6.61056178e-04  2.46089983e-07 -8.78260899e-04 
 3.23550209e-07 -8.83265067e-04  3.23550209e-07 -8.83622315e-04  3.23550209e-07 -1.25881638e-03 
 4.78470663e-07 -1.33449760e-03  4.78470663e-07 -1.33456865e-03  4.78470663e-07 -1.93012666e-03 
 7.88311570e-07 -2.23688600e-03  7.88311570e-07 -2.23636069e-03  7.88311570e-07 -3.31402999e-03 
 1.40799338e-06 -4.05910009e-03  1.40799338e-06 -4.05727748e-03  1.40799338e-06 -6.07855851e-03 
 2.64735701e-06 -7.79848954e-03  2.64735701e-06 -7.79364463e-03  2.64735701e-06 -1.17738529e-02 
 4.95132313e-06 -1.52037837e-02  4.95132313e-06 -1.51917309e-02  4.95132313e-06 -2.30237433e-02 
 5.00000000e-06 -1.53667645e-02  5.00000000e-06 -1.53545369e-02  5.00000000e-06 -2.32753943e-02 
 5.09735374e-06 -1.56947601e-02  5.09735374e-06 -1.56821778e-02  5.09735374e-06 -2.37735481e-02 
 5.29206121e-06 -1.63529217e-02  5.29206121e-06 -1.63396223e-02  5.29206121e-06 -2.47736863e-02 
 5.68147616e-06 -1.76820620e-02  5.68147616e-06 -1.76672824e-02  5.68147616e-06 -2.67936933e-02 
 6.46030605e-06 -2.03850341e-02  6.46030605e-06 -2.03671103e-02  6.46030605e-06 -3.09013951e-02 
 8.01796583e-06 -2.59004508e-02  8.01796583e-06 -2.58755182e-02  8.01796583e-06 -3.92835623e-02 
 9.97281402e-06 -3.28277620e-02  9.97281402e-06 -3.27927291e-02  9.97281402e-06 -4.98113280e-02 
 1.18662059e-05 -3.93024116e-02  1.18662059e-05 -3.92562983e-02  1.18662059e-05 -5.96492900e-02 
 1.40147156e-05 -4.61900173e-02  1.40147156e-05 -4.61298857e-02  1.40147156e-05 -7.01079101e-02 
 1.60229243e-05 -5.22390915e-02  1.60229243e-05 -5.21645027e-02  1.60229243e-05 -7.92831403e-02 
 1.75327453e-05 -5.66716043e-02  1.75327453e-05 -5.65852673e-02  1.75327453e-05 -8.59987573e-02 
